program_id,m,corrected_alpha,min_p,false_positive,survives_by_correction
ghz_2_synth_16,30,0.0016666666666666668,0.7618238176182381,0,1
ghz_2_synth_24,30,0.0016666666666666668,0.7618238176182381,0,1
ghz_2_synth_32,30,0.0016666666666666668,0.7618238176182381,0,1
ghz_2_synth_40,30,0.0016666666666666668,0.7618238176182381,0,1
ghz_2_synth_48,30,0.0016666666666666668,0.7618238176182381,0,1
ghz_2_synth_8,30,0.0016666666666666668,0.7618238176182381,0,1
ghz_4_synth_10,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_4_synth_18,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_4_synth_2,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_4_synth_26,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_4_synth_34,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_4_synth_42,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_4_synth_50,56,0.0008928571428571429,0.9599039480881358,0,1
ghz_6_synth_12,78,0.000641025641025641,0.5052494750524947,0,1
ghz_6_synth_20,78,0.000641025641025641,0.5052494750524947,0,1
ghz_6_synth_28,78,0.000641025641025641,0.5052494750524947,0,1
ghz_6_synth_36,78,0.000641025641025641,0.5052494750524947,0,1
ghz_6_synth_4,78,0.000641025641025641,0.5052494750524947,0,1
ghz_6_synth_44,78,0.000641025641025641,0.5052494750524947,0,1
ghz_8_synth_14,96,0.0005208333333333333,0.0034996500349965005,0,1
ghz_8_synth_22,96,0.0005208333333333333,0.0034996500349965005,0,1
ghz_8_synth_30,96,0.0005208333333333333,0.0034996500349965005,0,1
ghz_8_synth_38,96,0.0005208333333333333,0.0034996500349965005,0,1
ghz_8_synth_46,96,0.0005208333333333333,0.0034996500349965005,0,1
ghz_8_synth_6,96,0.0005208333333333333,0.0034996500349965005,0,1
qft_3_synth_17,41,0.0012195121951219512,1.0,0,1
qft_3_synth_25,41,0.0012195121951219512,1.0,0,1
qft_3_synth_33,41,0.0012195121951219512,1.0,0,1
qft_3_synth_41,41,0.0012195121951219512,1.0,0,1
qft_3_synth_49,41,0.0012195121951219512,1.0,0,1
qft_3_synth_9,41,0.0012195121951219512,1.0,0,1
qft_5_synth_11,57,0.0008771929824561404,1.0,0,1
qft_5_synth_19,57,0.0008771929824561404,1.0,0,1
qft_5_synth_27,57,0.0008771929824561404,1.0,0,1
qft_5_synth_3,57,0.0008771929824561404,1.0,0,1
qft_5_synth_35,57,0.0008771929824561404,1.0,0,1
qft_5_synth_43,57,0.0008771929824561404,1.0,0,1
qft_5_synth_51,57,0.0008771929824561404,1.0,0,1
qft_7_synth_13,73,0.0006849315068493151,1.0,0,1
qft_7_synth_21,73,0.0006849315068493151,1.0,0,1
qft_7_synth_29,73,0.0006849315068493151,1.0,0,1
qft_7_synth_37,73,0.0006849315068493151,1.0,0,1
qft_7_synth_45,73,0.0006849315068493151,1.0,0,1
qft_7_synth_5,73,0.0006849315068493151,1.0,0,1
qft_9_synth_15,89,0.0005617977528089888,1.0,0,1
qft_9_synth_23,89,0.0005617977528089888,1.0,0,1
qft_9_synth_31,89,0.0005617977528089888,1.0,0,1
qft_9_synth_39,89,0.0005617977528089888,1.0,0,1
qft_9_synth_47,89,0.0005617977528089888,1.0,0,1
qft_9_synth_7,89,0.0005617977528089888,1.0,0,1
